Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Site Header	Log Out	Logs the current user out of the application.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Implemented in the React SPA.
Theme & Widgets	View Theme Tab	Shows the branding/theme configuration form for a dataverse, including logo, colors, tagline, and website link.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Toggle Inherit Theme from Parent	Lets an editor reuse the parent dataverse's branding/theme instead of customizing their own.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Change Logo	Uploads a new image to use as the dataverse's main logo.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Remove Logo	Removes the dataverse's currently configured main logo image.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Set Logo Format & Alignment	Chooses whether the logo displays as a square or rectangle and, for rectangles, sets its alignment and background color.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Remove Logo Thumbnail	Uploads or removes a smaller thumbnail version of the dataverse logo.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Set Header Colors	Sets the background, link, and text colors used in the dataverse's header banner.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Edit Tagline	Sets or edits a short tagline shown in the dataverse header.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Edit Website Link	Sets an external website URL that the header tagline text links to.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Remove Footer Logo	Uploads or removes a logo image displayed in the dataverse's footer.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Save Theme Changes	Saves all branding/theme changes, including logos, colors, tagline, and website link, for the dataverse.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Cancel Theme Edit	Discards unsaved theme changes and returns to the dataverse page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	View Widget Embed Code	Shows copyable HTML/JS snippets for embedding a search box or full dataverse listing widget on an external site.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Dataset Thumbnails & Widgets	Upload Dataset Thumbnail	Uploads a custom image to use as the dataset's thumbnail/preview image.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Dataset Thumbnails & Widgets	Remove Dataset Thumbnail	Removes the current custom dataset thumbnail, with a confirmation step if it was derived from a data file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Dataset Thumbnails & Widgets	Select File as Thumbnail	Opens a dialog to pick one of the dataset's uploaded image files to use as its thumbnail.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Dataset Thumbnails & Widgets	Save Thumbnail Changes	Saves the selected or uploaded dataset thumbnail.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Dataset Thumbnails & Widgets	Cancel Thumbnail Edit	Discards thumbnail changes and returns to the dataset page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Dataset Thumbnails & Widgets	View Widget Embed Code	Shows copyable HTML/JS snippets for embedding a citation widget or full dataset display widget on an external site.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal.
Move Dataverse (Dashboard)	Select Dataverse to Move	Lets a superuser search for and choose which existing dataverse should be relocated.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Select Destination Dataverse	Lets a superuser search for and choose the new parent dataverse to move the selected dataverse into.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Submit Move Request	Validates the selections and opens a confirmation dialog summarizing the planned move.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Confirm Move Dataverse	Confirms and executes moving the selected dataverse under its new parent dataverse.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Cancel Move	Cancels the move operation and returns to the administrative dashboard.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dataset Page	Download Dataset (no tabular files)	Downloads all files in the dataset as a single zip when the version has no tabular data files.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Download Original Files	Downloads the original-format copies of all tabular files in the dataset as a zip.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Download Archival Files	Downloads the archival (tab-delimited) format of all files in the dataset as a zip.	Yes	src/sections/dataset/dataset-action-buttons/access-dataset-menu/AccessDatasetMenu.tsx; src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Dataset Page	Globus Transfer Dataset	Starts a Globus transfer of the dataset's entire file set to the user's Globus endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Explore with External Tool	Launches a configured dataset-level explore tool (e.g. data viewer) in a new context.	Yes	src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
Dataset Page	Compute Dataset (Single)	Triggers a compute action against all files in the dataset via a configured compute tool.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Add Dataset to Compute Cart	Adds the current dataset to the user's compute batch cart for later batch computing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Remove Dataset from Compute Cart	Removes the current dataset from the user's compute batch cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	View Compute Cart List	Opens a popup listing every dataset currently queued in the compute batch cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Clear Compute Cart	Empties the compute batch cart of all queued datasets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Run Compute Batch	Opens the external compute service URL for all datasets currently in the cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Publish Dataset	Opens the publish confirmation dialog to release the current draft version publicly.	Yes	src/sections/dataset/publish-dataset/PublishDatasetModal.tsx; src/dataset/domain/useCases/publishDataset.ts	Implemented in the React SPA.
Dataset Page	Submit Dataset for Review	Opens a dialog to submit the current draft to curators/admins for review before publishing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Submit-for-review button opens the not-implemented modal.
Dataset Page	Return Dataset to Author	Opens a dialog letting a curator send an in-review dataset back to the contributor with a reason.	Partial	src/sections/dataset/dataset-action-buttons	Return-to-author menu item is rendered for in-review drafts, but no submission workflow was found.
Dataset Page	Upload Files (Edit menu)	Navigates to the file-upload page in upload mode for the dataset.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Edit Dataset Metadata	Switches the page into metadata edit mode so descriptive fields can be changed.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Edit Dataset Terms	Switches the page into license/terms-of-access edit mode.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Manage Dataset Permissions	Navigates to the permissions-management page scoped to the whole dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Manage File Permissions	Navigates to the permissions-management page scoped to the dataset's files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Create Private URL	Generates a private preview URL that lets non-authorized users view the unpublished dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Create Anonymized Private URL	Generates a private preview URL that also masks configured metadata fields for anonymized review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Disable Private URL	Revokes an existing private/anonymized preview URL after a warning confirmation.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Copy Private URL to Clipboard	Copies the generated private URL text to the clipboard via a copy button.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Manage Thumbnails and Widgets	Navigates to the page for setting the dataset thumbnail image and generating embeddable widgets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Configure External Tool	"Opens a dialog describing and launching a dataset-level ""configure"" external tool integration."	Yes	src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
Dataset Page	Delete Dataset	Permanently deletes an unpublished dataset after a warning confirmation dialog.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Delete Draft Version	Deletes the current draft version of an already-published dataset after confirmation.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Deaccession Dataset	Opens a form to pick version(s), a reason, and an optional forwarding URL to deaccession the dataset.	Yes	src/sections/dataset/deaccession-dataset; src/dataset/domain/useCases/deaccessionDataset.ts	Implemented in the React SPA.
Dataset Page	Confirm Deaccession (selected versions)	Final yes/no confirmation dialog before deaccessioning the selected dataset version(s).	Yes	src/sections/dataset/deaccession-dataset; src/dataset/domain/useCases/deaccessionDataset.ts	Implemented in the React SPA.
Dataset Page	Confirm Deaccession (all versions)	Final yes/no confirmation dialog before deaccessioning every version of the dataset.	Yes	src/sections/dataset/deaccession-dataset; src/dataset/domain/useCases/deaccessionDataset.ts	Implemented in the React SPA.
Dataset Page	Change Curation Status	Assigns a new curation status label to the current draft dataset version.	No	src/sections/dataset/dataset-action-buttons/publish-dataset-menu/ChangeCurationStatusMenu.tsx; src/sections/not-implemented/NotImplementedModal.tsx	Change curation status menu opens the Modern not-implemented modal.
Dataset Page	Remove Curation Status	Clears the curation status currently assigned to the draft dataset version.	No	src/sections/dataset/dataset-action-buttons/publish-dataset-menu/ChangeCurationStatusMenu.tsx; src/sections/not-implemented/NotImplementedModal.tsx	Remove curation status action opens the Modern not-implemented modal.
Dataset Page	View Curation Status History	Opens a read-only dialog listing past curation status changes with date and assigner.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No curation status history dialog/view found in SPA.
Dataset Page	Link Dataset	Opens a dialog to search for and link the dataset into another dataverse collection the user owns.	Yes	src/sections/dataset/dataset-action-buttons/link-and-unlink-actions; src/dataset/domain/useCases/linkDataset.ts; src/dataset/domain/useCases/unlinkDataset.ts	Implemented in the React SPA.
Dataset Page	Unlink Dataset	Opens a dialog to search for and remove an existing link between the dataset and a dataverse collection.	Yes	src/sections/dataset/dataset-action-buttons/link-and-unlink-actions; src/dataset/domain/useCases/linkDataset.ts; src/dataset/domain/useCases/unlinkDataset.ts	Implemented in the React SPA.
Dataset Page	Contact Dataset Owner	Opens a dialog to send a message/email to the dataset's contact or support team.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Share Dataset	Opens a dialog with social-media sharing links/widget for the dataset's landing page.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	View Dataset Citations Count	Opens a dialog listing external publications that cite the dataset (Make Data Count).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Make Data Count citations-count dialog found.
Dataset Page	View Metrics	Read-only display of view and/or download counts for the dataset, from classic counts or Make Data Count.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	View Dataset Summary Metadata	Read-only above-the-fold display of key metadata fields such as keywords, related publications, and contact.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	View License Information (summary)	Read-only display of the dataset's license icon, name, and link to the full license text in the summary table.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Select Host Dataverse (Create mode)	Autocomplete field used while creating a dataset to choose its parent collection.	Partial	src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Host collection is shown for create mode, but the change/search host action opens the not-implemented modal.
Dataset Page	Select Dataset Template (Create mode)	Dropdown used while creating a dataset to prefill metadata fields from a chosen template.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Save Dataset Changes	Persists edits made while in metadata or license/terms edit mode.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Cancel Dataset Edit	Discards in-progress edits and exits metadata/license edit mode.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Cancel Dataset Creation	Abandons an in-progress new-dataset creation and returns without saving.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Files Tab	Displays the list of files contained in the dataset.	Yes	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Implemented in the React SPA.
Dataset Page	Metadata Tab	Displays the dataset's full descriptive metadata fields.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
Dataset Page	Add/Edit Metadata Shortcut	Link within the Metadata tab that jumps directly into metadata edit mode.	Yes	src/sections/edit-dataset-metadata/EditDatasetMetadata.tsx; src/sections/edit-dataset-terms/EditDatasetTerms.tsx; src/sections/create-dataset/CreateDataset.tsx; src/dataset/domain/useCases/createDataset.ts	Implemented in the React SPA.
