Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
File Provenance	View Provenance Graph	"Display an interactive graph visualizing the file's provenance lineage (entities, activities, agents)."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Toggle Ancestors/Successors	Show or hide ancestor or successor nodes in the provenance lineage graph.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Upload Provenance JSON	Upload a PROV-JSON file describing the file's provenance via drag-and-drop or file picker.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Preview Provenance JSON	Open the uploaded provenance JSON file in a new browser window/tab for review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Remove Provenance JSON	Delete the uploaded (not-yet-saved) provenance JSON and related data.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Select Provenance Entity	Choose which entity in the uploaded PROV-JSON file corresponds to this data file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Add Provenance Description	Enter or edit a free-text description of the file's provenance.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Save Provenance Changes	Confirm and save provenance JSON and/or free-text description updates to the file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Package Download Popup	View Package Info	Display a package file's metadata and direct API download URL before closing the popup.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No package download popup implementation found in SPA.
Edit Files (Upload)	Download Rsync Upload Script	Download a script used to transfer large files into the dataset via rsync from the command line.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Dropbox	Choose files from a linked Dropbox account to add to the dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Globus	Open the Globus app in a new tab to transfer files into the dataset from a remote endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Webloader	Open the web-based bulk uploader tool in a new tab to add files to the dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Set as Dataset Thumbnail	"Designate an uploaded image file as the dataset's thumbnail image, replacing any existing logo."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Set-as-thumbnail upload action not found.
Edit Files (Upload)	Advanced Ingest Options (Encoding)	Choose a text character encoding for an SPSS-SAV file before it is ingested as tabular data.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload SPSS-POR Extra Labels File	Upload a supplementary variable-labels file to accompany an SPSS-POR file during ingest.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Resolve Duplicate/Type-Mismatch Upload	Delete a newly uploaded file that duplicates or conflicts in type with an existing dataset file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Dataset Files Tab	Toggle Table/Tree View	Switch the file listing between a flat table view and a folder tree view.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Tree view toggle was not found; files are shown in table/list UI.
Dataset Files Tab	Batch Globus Transfer	Start a Globus transfer for all currently selected files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Batch Globus transfer not found.
Manage Guestbooks	Delete Guestbook	Opens a confirmation dialog to permanently remove a guestbook that is no longer used.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Guestbooks	Confirm Delete Guestbook	Permanently deletes the selected guestbook after the user confirms in the warning dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Guestbooks	Cancel Delete Guestbook	Closes the delete confirmation dialog without deleting the guestbook.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Templates	Make Default Template	Sets a template as the default one automatically applied when creating a new dataset in this collection.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Default-template action opens the not-implemented modal.
Manage Templates	Unset Default Template	Removes a template's status as the collection's default template for new datasets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Default-template action opens the not-implemented modal.
Login Page	Contact Support	Open a contact form to message the support team about institutional or OAuth login issues.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No login-page contact-support action found.
Confirm Email	Confirm Email Address	Clicking the emailed confirmation link verifies the account's email address and logs the user in.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Confirm-email workflow not found in SPA.
Confirm Email	Go to Account Page	"If the confirmation link is invalid or expired, navigate to the account information tab."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Confirm-email workflow not found in SPA.
Institutional Login (Shibboleth)	Create New Account	"Create a new Dataverse account using identity attributes supplied by the institution's login, after accepting terms of use."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Cancel Account Creation	Abandon institutional account creation and return to the home page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Convert Existing Account	Link an existing local username/password account to institutional login by confirming the current password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Forgot Password	Navigate to the password reset page while converting an account to institutional login.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Convert Account (OAuth)	Convert Existing Account	Link an existing local username/password account to an OAuth identity by confirming the current password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	OAuth account conversion flow not found.
Convert Account (OAuth)	Cancel	Abandon linking the account and return to the first-login options page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	OAuth account conversion flow not found.
ORCID Confirmation	Contact Support	Open a contact form to report an error linking an ORCID iD to the account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	ORCID confirmation/contact flow not found.
Account Information	Edit Account Information	"Open the form to edit the account's name, email, affiliation, and position."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Save Account Changes	"Save edited account information such as name, email, affiliation, and position."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Change Password	Open the form to change the account's password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Save New Password	Submit the current password and a new password to update the account's login password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Cancel Edit	Discard changes made in the account edit or password-change form without saving.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Remove ORCID iD	Unlink an authenticated ORCID iD from the account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Link/Authenticate ORCID iD	Start the ORCID sign-in flow to link an ORCID iD to the current account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Verify Email Address	Resend a confirmation email to verify the account's current email address.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Contact Support	Open a contact form to ask about migrating off Shibboleth or OAuth login to a local account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Notifications	Manage Muted Email Notifications	"Choose which notification types should stop being sent as email, then save the preference."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Muted notification preference management was not found.
Notifications	Manage Muted In-App Notifications	"Choose which notification types should stop appearing in the in-app notifications list, then save the preference."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Muted notification preference management was not found.
My Data	Filter by Metadata Validity	Show or hide dataset results based on whether their metadata is complete/valid.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Metadata-validity filter was not found in My Data filters.
Manage Permissions	Configure Default Access Settings	"Opens a dialog to set the default role auto-granted to authenticated users and the default role for new contributors on a dataverse, then saves the change."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Assign Role	Searches for a user or group and assigns them a chosen role on the current dataverse or dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Remove Role Assignment	"Revokes a role previously assigned directly to a user or group on the current dataverse or dataset, after a confirmation prompt."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Create Custom Role	"Opens a blank role editor to define a new custom role's name, alias, description, and set of permissions."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Duplicate Role	Opens the role editor pre-filled with an existing role's permissions so the user can create a new role based on it.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Edit Role	"Opens the role editor pre-filled with an existing custom role's name, alias, description, and permissions for editing."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Save Role	"Saves the name, alias, description, and selected permissions for a newly created or edited custom role."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Download Role Assignment History	Downloads a CSV file listing the history of role assignments and revocations for the dataverse or dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
